pID,condition,time
170,compatible,9
170,incompatible,12
171,control,5
171,compatible,4
171,incompatible,7
172,control,5
172,compatible,7
172,incompatible,8
173,control,16
173,compatible,15
173,incompatible,17
174,control,4
174,compatible,4
174,incompatible,7
175,control,5
175,compatible,6
175,incompatible,6
176,control,3.5
176,compatible,2.8
176,incompatible,5.9
177,control,5.7
177,compatible,3.2
177,incompatible,9.8
178,control,5
178,compatible,3
178,incompatible,8
179,control,3
179,compatible,3
179,incompatible,5
180,control,8
180,compatible,5
180,incompatible,9
181,control,3.7
181,compatible,2.4
181,incompatible,3.9
182,control,4.2
182,compatible,4.4
182,incompatible,5
184,control,8
184,compatible,15
184,incompatible,13
186,control,10
186,compatible,8
186,incompatible,13
187,control,8
187,compatible,4
187,incompatible,8
188,control,7
188,compatible,3
188,incompatible,10
189,control,6.2
189,compatible,4
189,incompatible,5.4
190,control,4.9
190,compatible,4.1
190,incompatible,6.2
193,control,9.5
193,compatible,7
193,incompatible,11
194,control,12
194,compatible,14
194,incompatible,17
195,control,9
195,compatible,4
195,incompatible,7
196,control,5
196,compatible,4
196,incompatible,6
197,control,18
197,compatible,17
197,incompatible,16.5
